OTU_ID,abundance,phylum,class,order,family,genus,species,evalue,coverage,primary_lifestyle,ectomycorrhiza_exploration_type,ectomycorrhiza_lineage,similarity
de2420e8c78f6f5bf30665f9f47e6416c6d7bce9,702726,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,1.26E-95,98.19004525,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,95.392
0f8193ee9ea03dcf1edd1886989c334f8f9799d2,596951,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,8.31E-78,100,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,96.089
328dbc9b565a8a6bbe004b4f459b76cb91f7bdf2,371180,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,1.44E-107,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,99.539
f0d548bc838e8b4680497b0971b74ff2ea863b12,174340,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,3.38E-109,98.19004525,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,100
85415fa174afc78e36fef6290c53503a6a3051b2,75540,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora_sp,9.93E-110,99.55156951,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,99.099
1b089f4f419b450023c3878e153e7de1a9b8c934,68199,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,2.14E-105,99.543379,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,98.624
107568d250340d5e452c9fa7ab825f1baff8d991,68080,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp,5.88E-93,100,ectomycorrhizal,short-distance_delicate,/sebacina,97.99
326ba8ab67ee44cc8ff9befcff2c8ac9b6e431e5,56464,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,2.64E-104,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,98.182
e720af6cb46b52d5ff96866443f2440e1816960a,52977,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,1.43E-88,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,93.578
e2e0473c2b318e73339fb75effceb5ea0e320e54,48071,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp,6.50E-99,100,ectomycorrhizal,short-distance_delicate,/sebacina,99.024
51bbbff2020dd95b675b96b29281f5e71ed3b62b,47783,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_sp,5.73E-87,100,ectomycorrhizal,short-distance_delicate,/inocybe,93.458
9d332cb344fcb6fac2dd3188f380d371f0b19ee9,46662,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,1.17E-108,99.53917051,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,100
f77e63572532fa596e83efd90cee9b9c1d4912ca,46438,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp,5.04E-107,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,99.083
7fac048c0775e1afab70ae254206608d4ef760f9,46037,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp,2.49E-91,100,ectomycorrhizal,short-distance_delicate,/sebacina,97.462
609d645edba1eed96a729b3e966f70c20d5b2f19,44221,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora_sp,6.69E-112,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,100
0cd8deaa44334d7ff3c1fe0bb092e8a136c02148,43840,Ascomycota,Dothideomycetes,Gloniales,Gloniaceae,Cenococcum,Cenococcum_sp,2.03E-65,99.31972789,ectomycorrhizal,short-distance_coarse,/cenococcum,97.26
dfb0b746f211f5b82af06d53925cc63259180eba,43509,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria_sp,3.39E-96,99.51923077,ectomycorrhizal,short-distance_delicate,/laccaria,98.068
b43fb6d645e3b0396242f88d622e4b7b43c464dd,41347,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_kapila,7.97E-91,100,ectomycorrhizal,short-distance_delicate,/inocybe,100
3d57d022cd5f69dae96ff6a918c59f8dc156173a,37768,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Thelephora_sp,3.96E-102,100,ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,96.847
d148609813828fa5d855106e6b355a33080886e3,37726,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp,2.76E-97,95.65217391,ectomycorrhizal,short-distance_delicate,/sebacina,99.495
2d1583b4bb343f61b6a22f047368c733909754c7,36875,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Ruhlandiella,Ruhlandiella_sp,5.56E-80,100,ectomycorrhizal,short-distance_coarse,/terfezia-peziza_depressa,96.629
